level1,level2,pattern,weight
liwc,friends,comrad*,1
liwc,friends,exbf*,1
liwc,friends,exboyfriend*,1
liwc,friends,exgf*,1
liwc,friends,exgirl*,1
liwc,friends,fellow*,1
liwc,friends,fiance*,1
liwc,friends,friend*,1
liwc,friends,gf*,1
liwc,friends,girlfriend*,1
liwc,friends,guest*,1
liwc,friends,honey,1
liwc,friends,lover*,1
liwc,friends,mate,1
liwc,friends,mates,1
liwc,friends,neighbor*,1
liwc,friends,neighbour*,1
liwc,friends,pal,1
liwc,friends,pals,1
liwc,friends,partner*,1
liwc,friends,roomate*,1
liwc,friends,roomie*,1
liwc,friends,roommate*,1
liwc,friends,soulmate*,1
liwc,friends,sweetheart*,1
liwc,friends,sweetie*,1
liwc,humans,adult,1
liwc,humans,adults,1
liwc,humans,babe*,1
liwc,humans,babies,1
liwc,humans,baby*,1
liwc,humans,bambino*,1
liwc,humans,boy,1
liwc,humans,boys*,1
liwc,humans,chick,1
liwc,humans,chicks,1
liwc,humans,child,1
liwc,humans,children*,1
liwc,humans,citizen,1
liwc,humans,citizens,1
liwc,humans,female*,1
liwc,humans,gentlem*,1
liwc,humans,girl,1
liwc,humans,girls*,1
liwc,humans,grownup*,1
liwc,humans,guy*,1
liwc,humans,human*,1
liwc,humans,individual*,1
liwc,humans,infant,1
liwc,humans,infants*,1
liwc,humans,kid,1
liwc,humans,kids*,1
liwc,humans,ladies,1
liwc,humans,lady,1
liwc,humans,ma,1
liwc,humans,male,1
liwc,humans,males,1
liwc,humans,mam,1
liwc,humans,man,1
liwc,humans,members,1
liwc,humans,men,1
liwc,humans,mr,1
liwc,humans,mrs,1
liwc,humans,newborn*,1
liwc,humans,participant*,1
liwc,humans,partner*,1
liwc,humans,people*,1
liwc,humans,person,1
liwc,humans,persons,1
liwc,humans,self,1
liwc,humans,sir,1
liwc,humans,societ*,1
liwc,humans,woman,1
liwc,humans,women*,1
liwc,affect,abandon*,1
liwc,affect,abuse*,1
liwc,affect,abusi*,1
liwc,affect,accept,1
liwc,affect,accepta*,1
liwc,affect,accepted,1
liwc,affect,accepting,1
liwc,affect,accepts,1
liwc,affect,ache*,1
liwc,affect,aching,1
liwc,affect,active*,1
liwc,affect,admir*,1
liwc,affect,ador*,1
liwc,affect,advantag*,1
liwc,affect,adventur*,1
liwc,affect,advers*,1
liwc,affect,affection*,1
liwc,affect,afraid,1
liwc,affect,aggravat*,1
liwc,affect,aggress*,1
liwc,affect,agitat*,1
liwc,affect,agoniz*,1
liwc,affect,agony,1
liwc,affect,agree,1
liwc,affect,agreeab*,1
liwc,affect,agreed,1
liwc,affect,agreeing,1
liwc,affect,agreement*,1
liwc,affect,agrees,1
liwc,affect,alarm*,1
liwc,affect,alone,1
liwc,affect,alright*,1
liwc,affect,amaz*,1
liwc,affect,amor*,1
liwc,affect,amus*,1
liwc,affect,anger*,1
liwc,affect,angr*,1
liwc,affect,anguish*,1
liwc,affect,annoy*,1
liwc,affect,antagoni*,1
liwc,affect,anxi*,1
liwc,affect,aok,1
liwc,affect,apath*,1
liwc,affect,appall*,1
liwc,affect,appreciat*,1
liwc,affect,apprehens*,1
liwc,affect,argh*,1
liwc,affect,argu*,1
liwc,affect,arrogan*,1
liwc,affect,asham*,1
liwc,affect,assault*,1
liwc,affect,asshole*,1
liwc,affect,assur*,1
liwc,affect,attachment*,1
liwc,affect,attack*,1
liwc,affect,attract*,1
liwc,affect,aversi*,1
liwc,affect,avoid*,1
liwc,affect,award*,1
liwc,affect,awesome,1
liwc,affect,awful,1
liwc,affect,awkward*,1
liwc,affect,bad,1
liwc,affect,bashful*,1
liwc,affect,bastard*,1
liwc,affect,battl*,1
liwc,affect,beaten,1
liwc,affect,beaut*,1
liwc,affect,beloved,1
liwc,affect,benefic*,1
liwc,affect,benefit,1
liwc,affect,benefits,1
liwc,affect,benefitt*,1
